query,type,gold_uid
what happens to money after i get an unexpected pre-approved offer or live check?,paraphrase,3qdxsqeqEW8NGzgvnEU95E
what does force-placed insurance mean?,paraphrase,oBZoPpSnfFBkKyD8RvwhwP
refund credit limit exceeded,keyword,XJYVFcngFP7ntMMxhuCx6a
want build credit history prepaid cards proceed process,keyword,TpWAQEahHnM4vVFAxCxVYa
avoid foreclosure,keyword,M3PS9FJVvdQwsEMc3SmVwr
tell me the best way to protect your money when disaster strikes?,paraphrase,oQRVVCuoXw5tnSo4ZtJshb
ads companies consolidate credit card debt real,keyword,CzdJ2cT2V6ssdshTYTi6qD
can i check my credit score online but the site wants to charge me a fee or get me to sign up for other services?,paraphrase,YnTHm4SLYzoGjnCDqMwKX2
nt pay credit card bills,keyword,9dcJTggNC9prCDTm3PoK6B
what does it mean when a payday loan is renewed?,paraphrase,Kk64rRQyxQePPav2mGAEHh
can i negotiate interest rates on a vehicle loan with the dealer?,paraphrase,Ce6YLFxQBJbjEYsW94FmHV
type loans covered military loan act,keyword,WBB85mEgZ8mz7nHhndLv9T
what does a qa mortgage involve?,paraphrase,KmvWMn2T2m82UiFMQPpBqp
can the card issuer change my mastercard to visa or from a gas card to a department store card?,paraphrase,DHgnUpWsEFs54UAKahWFYW
how can i get a power of attorney for my bank account that i never signed?,paraphrase,aoyHt9LxtXumCuskJbu6Zt
sure check charged twice,keyword,AtULcQWRvctjwptPCMPR3u
contact mortgage servicer directly dispute occurred qwr question,keyword,AFFvDAKRtods8YquWsSRiu
who are the best safeguards for international money transfers?,paraphrase,XMYxUcrU7qSAT9VepwQgLC
can my card be sold?,paraphrase,4PT9tRDvnZK8wDHNGtV3w2
how much does a payday loan cost?,paraphrase,6B8MyLNUgYQ6wyjuSgwd68
debt collector garnish benefits,keyword,TnBHP7zA7GtEjBHVpjPmky
happen need withdraw money military savings deposit program sdp account 120 days leaving combat zone,keyword,mP5PwoFerprDNptKjznPFF
can i use my payroll card without any costs?,paraphrase,WjNXwrsrkuXEuWXxXftu6x
price addons extended warranty guaranteed auto protection gap insurance negotiable,keyword,hRUHBSrL8QUsodmwv4nFoU
possible reverse mortgage,keyword,BaaNXnEhNokBvJMREAJmG9
what charges do payday loans come with?,paraphrase,6B8MyLNUgYQ6wyjuSgwd68
what does it take for an advertiser to qualify for an 0 for auto financing?,paraphrase,nrHoQgAiZaMnHFLorkmeZ4
I wrote a check and the person I gave it to increased the amount of the check before cashing it. The bank/credit union paid the higher amount rather than the amount I had written. What can I do?,paraphrase,FXmamWzxtMxfUSKfe8uhqP
how can i obtain a quote for my loan?,paraphrase,HU4KTnfRb2gGqekLYkmuTJ
my payday lender claims to be located in another country and therefore does not have to comply with us federal laws that protect consumers,paraphrase,ef8WQbZtF2cu3NbzsTsubk
received notice rate change adjustable rate mortgage,keyword,BUqcLxxmzY224JrXfNdDkq
what does it mean when a card bill says i'll pay my balance in three years if i pay a certain amount?,paraphrase,SRB2ZEbDAD9MAbm42PzzdQ
how should i sue the card issuer that issued my credit card?,paraphrase,ScfudJJmePoCYJafWWxHGA
what would happen if my mortgage was sold?,paraphrase,94r3ctDLTG4LfpgJHQH3Qu
are credit cards stolen when they are in the possession of unauthorized persons or are they just not used?,paraphrase,Q7yXuCFxRJ8fMh5xBtKwcn
stop debt collector asking money,keyword,jKn8rVJAt6dC6UpvWwjNnE
what should i do if my credit card bills are not delivered?,paraphrase,TrxLHoCv8Q33JszJSfDiCj
possible way compensation company cfpb proposed settle dispute,keyword,X7dS4ccp5DWdawPPiPayFK
do new purchases pay interest on a zero or low rate balance transfer?,paraphrase,MKWRAL6DB9uX2UbzUNwVuh
what should i do if i consolidate my federal student loans?,paraphrase,EUekNKjuV2FB4f4rTp7bPK
how can i pay my homeowners insurance if i have a reverse mortgage?,paraphrase,o7kobFSMkvhGgsYUS9VGEy
happen lose reverse mortgage 45 year loan term,keyword,M6mmaM4iT39nFLrwgL9XcX
tell financed mortgage loan,keyword,76VdLhshac8x9hTy4GYobZ
free credit husband wife,keyword,mcgDh8uf8UajPhJiQ4FXEN
check credit report blind,keyword,5iVr5WX3XgKXUC9KnkRfva
debt collector m listed national registry,keyword,S4sPzzotDfzWcaxqhSQxss
heard payday loan help improve credit rating true,keyword,XS5aF5AVMCbsBQxCGHkD9P
stop personal information deployed overseas,keyword,JynW2B6pqUEt4vqA5dVRpc
second appraisal flipped property,keyword,XMYjAYjAopb3hhfjfCeg5C
how do i get help with my debt owed to a debt collector?,paraphrase,7eJ2EENzfRu9N6L3G8kQHr
should you get a payday loan?,paraphrase,o2UXtZXQitcBzonbgFnTfr
information card issuers allow credit card application,keyword,FUsHoxYipF2DpdJZxxp25z
how do i get rid of bad credit data?,paraphrase,68ngEgktdknU89HZZCtt3T
should i consolidate my student loans into a federal student loan?,paraphrase,EUekNKjuV2FB4f4rTp7bPK
will my credit score decrease as my partner has a bad credit score?,paraphrase,jwbAc4xwsi2FYvjXjNaYqP
happens car late default account,keyword,Q5oynF83ykEDD3yyYdg3wk
what is prepayment interest? what do i pay for it?,paraphrase,2x8ndD325uo5jxTa8Qz4jc
s best way help having trouble va mortgage nonva mortgage payments,keyword,9uHiBUVRoC7oq2yY8c4cQ5
what happens to my student loans after graduation?,paraphrase,BqboHRyx8UeUNUZ7fScFcB
tell difference interest rate apr auto loans,keyword,6DuoKzkmQXWb2cwho7ZVZm
bad consequences credit card payment,keyword,3pycybr4mpgA3racmJLALD
true people use wire transfers steal money,keyword,irETAAXiexqnpLW6GVvwbU
federal student loan pay pay,keyword,hM4KQ3WkiEoQTVmCCWJBxG
i discovered an illegal transaction how can i get my money back?,paraphrase,Mrsddco9pYyKV5BtmEFiWv
cost pay mortgage relief company help mortgage problems,keyword,9cJoFWS77AuyP3LrfAyocy
can you list the information card issuers won't have access to when determining if a credit card is legal?,paraphrase,FUsHoxYipF2DpdJZxxp25z
debt collector contacts,keyword,iMYAx54wupdy6bTqqBtSMJ
does my broker get paid to get me a mortgage?,paraphrase,gMnqqDrn5skgbawJoJFxEv
how do i apply for college loans?,paraphrase,S6cJAgsN2WeCVviEQmTofM
tell me the difference between an adjustable rate and a fixed-rate mortgage?,paraphrase,NqouoSQh7tdXh8S5GMPgxc
happen applied credit card set terms turned offered chance apply card different terms,keyword,GgS3M8h8998z6nc5mPR5vA
share death,keyword,Yr5admgyCHF7Hrkw6iExAc
what should i do if my kids believe i can pay with credit card?,paraphrase,KCTAct7RF8yxizHJGCHBiD
tell me the meaning of survey?,paraphrase,YdTS3FJ2CEwgzNWPY9TwVj
tell best way fix lost credit card,keyword,7gxsVF3THf6tSkeBSVEH9M
bought new credit card wo nt work,keyword,CVcjcDMjxsqCizWrsT3R5u
how can i get my federal student loan back after i die?,paraphrase,M8M7b598KuPdgLmwf598rb
is it ok to pay for someone who bought things with my credit card,paraphrase,iBTd6Zp6VM3nFQSVKagJvY
can a creditor ask me about the alimony child support payments?,paraphrase,m6XtuDNjV4q98MuEfHtnBG
debt collection company contact student loans,keyword,NJeKTdZMXgkyrydncgCDMi
damage credit score pay portion credit card disputing,keyword,74Gvh37MLmFufoFuhe5cbc
what's private mortgage insurance?,paraphrase,eCrrhmmVxbi9DMh3SyCbtU
mortgage company advise avoid foreclosure,keyword,U4qBb5nTnrvXKtzTjRcqbX
if a credit union charge you to open a free checking account can i make it work?,paraphrase,RzZQZNZoTvCB95pAWVr9CY
tell me the interest percent of a mortgage?,paraphrase,cS2foyf9StTE8mA5vukvbn
mortgage terms,keyword,W8odD7Gd7P9YayjeQRecai
how can i get a debt collection agency to arrest me for debt collection?,paraphrase,j4EiYPp2pDqz5Z8UyjdPBR
problem nt use prepaid card long duration,keyword,aGzjwyeRKqjNkztQxCLJne
construction loans,keyword,PRTjQpvwFBf2tZb9gbUic6
contact debt collector deceased relatives debts,keyword,KitTQDCXSTZNxUhhMwPHpM
how does a foreclosure work?,paraphrase,FA6cWQX2aTNnCTKDs9xzse
how does credit card add-on products work?,paraphrase,iBRrXYi6ZUVqfyZLuA4SLk
contact lender discriminated unfairly impacted,keyword,T4BLrnbKfkkVXKgX5uxwLm
is it possible for a lender to consider my age in determining if i deserve credit?,paraphrase,cgE53hp4LqyHuzfbxr9zBH
credit reporting company,keyword,3XKjodwHkN47zvLMpwKc2g
appraisal,keyword,gTmrLP3P96wg8jqnjFnZ8S
happens credit report analyzed mortgage lender,keyword,dFxEEpvA4hmcZrgg65MfRF
contacted mortgage company tell,keyword,PqZxgRfjyPmyGRWN8w7mqY
does total of payments mean a mortgage?,paraphrase,2GMN8NPEjXmdJ8257M8waz
tell me the right of rescission?,paraphrase,eLQk6aWULwYmzGipNQV6Y8
how should i start paying my student loan?,paraphrase,R3g9VhFgZVRVAijj7BwBzY
new credit card work,keyword,6my69yu6pCZFNMpuwtRHr3
tell difference dealer bank financing,keyword,JEPsyB2Nmy53XVAtQzANDo
information credit card issuer base decision,keyword,FUsHoxYipF2DpdJZxxp25z
what should i do when a debt collector contacts me?,paraphrase,iMYAx54wupdy6bTqqBtSMJ
how can i pay down my mortgage faster without paying any interest?,paraphrase,GjhXveM2QoMmrJhyesZ2dx
help understand terms application prevent foreclosure mortgage,keyword,jc73xhNqm8XTvtWLJD4pij
show the buy rates for auto loans?,paraphrase,nYB7Uzt8UsKycTyfT8eefn
tell me the difference between home equity loan and a line of credit?,paraphrase,DMSBR5Fm6BSttsTTh7a5Qj
protect con artists wire transfers steal money,keyword,irETAAXiexqnpLW6GVvwbU
happens personal line credit paid,keyword,PyV3YyRWbwRcWropyWqfEp
is federal student loan better than private student loan?,paraphrase,aM5LGCi97zAaiKrp8fhJc8
tell difference conventional conventional loans,keyword,2MG4UQQYFJq7JazPTFBBkJ
initial security deposit,keyword,kdfxxv4dwahsJde5kMTTBi
how do we apply for direct plus loans?,paraphrase,HCE6eTvQStk3qWqGJA4V5z
borrow buy new car,keyword,42RC8nMYG2s5xRjNaPL3jG
tell me the difference between mortgage broker and mortgage lender?,paraphrase,M6E7izg3wBvxTwdTSvMyzs
file report shows fault credit report,keyword,2JaBAMWhw6SpjLjxYv7shW
tell unauthorized use credit card,keyword,UVNAkf6gyQ9rg443eLgTTz
what support can i get if i experience a natural disaster?,paraphrase,k3uSPHceEmQsQRWA7eDCY7
credit unions bankers payment online purchases,keyword,kamBRUKNWfJC6gQKhXH9va
m tired getting phone calls asking apply credit card,keyword,ki8F9uJv65xhrQxFqUa6Be
how can i fail on my student loans?,paraphrase,aFqkSsfRQvrxZdagSe6mwB
tell me the best thing to do after a disaster?,paraphrase,oQRVVCuoXw5tnSo4ZtJshb
what is a power of attorney?,paraphrase,mhdcssVPMTLcLWTGSk3NhB
law allows debt collector limit,keyword,WLAVdJPdk3PP4pgup3D9PQ
credit card issuer ask age income information obtain accurate social security number,keyword,gavUdZhAPAJrksVcu5t9xN
how will i be able to refinance my first mortgage?,paraphrase,Qm8EuBwfMKWQqxJiCJfzSz
what's the best way to reduce my credit limit?,paraphrase,3XKN5auxqM3aTDHLw9YgN3
can my card issuer change my mastercard card to a visa card or from a gas card to a visa card?,paraphrase,DHgnUpWsEFs54UAKahWFYW
what role does school play in the loan process?,paraphrase,9TDCrVc948A2uVx4zPovNj
credit report,keyword,FHxnwWdo8adZsuh2TH3vsp
what do i do if i pay off my home loan but i still have a credit report that is listed as unpaid?,paraphrase,7yicRjyDJyt5DTDVot6uqc
how do i dispute a charge on my credit card if i still have the card number on my unsecured statement?,paraphrase,ftkucHfTa9DsS7aJ8Z6Fbq
prepaid cards charged payment,keyword,LMYmGGauiwXwJ4oswkWvJp
what is a mortgage and what are its terms?,paraphrase,W8odD7Gd7P9YayjeQRecai
tell difference highpriced mortgage lowinterest,keyword,Ti9wwTycMbRreKgJi7o9kp
is it possible to prepay my mortgage loan at any time without penalty?,paraphrase,AHmdZjxaNZ47iG85U9L5BL
possible mastercard visa increase interest rate card notice,keyword,3TngVadKsiYhcSH2cg2AtG
I was asked to sign an “ACH authorization” to allow electronic access to my account in order to repay a payday loan. What is that?,paraphrase,QLPq3ij2fZhPnAGoiEAwX5
