,query,type,gold_uid
1750,what is an assignee of an auto loan?,paraphrase,n7KLRXN9jT6wHPz74EFue3
1751,auto loan,keyword,n7KLRXN9jT6wHPz74EFue3
1752,loan,keyword,n7KLRXN9jT6wHPz74EFue3
1753,my bank and credit union failed to pay interest until i closed my account why?,paraphrase,Kw7MponbhFSivZqbsxDbN7
1754,can the bank still pay the interest that i closed the account on the day i withdrawn the money?,paraphrase,Kw7MponbhFSivZqbsxDbN7
1755,what do i do if my bank doesn't pay me interest until i withdraw my money?,paraphrase,Kw7MponbhFSivZqbsxDbN7
1756,interest-bearing account,keyword,Kw7MponbhFSivZqbsxDbN7
1757,credit union,keyword,Kw7MponbhFSivZqbsxDbN7
1758,how do i get a creditor to refer my debt to a collection agency before my debt is due?,paraphrase,dA5CZ3sYJsgggK32D96ZB4
1759,can a creditor refer my account to a collection agency before my debt is due?,paraphrase,dA5CZ3sYJsgggK32D96ZB4
1760,can i refer my credit account to a collection agency before a debt is due? do i have to be told before a debt is turned into collections?,paraphrase,dA5CZ3sYJsgggK32D96ZB4
1761,creditor refer,keyword,dA5CZ3sYJsgggK32D96ZB4
1762,refer my account,keyword,dA5CZ3sYJsgggK32D96ZB4
1763,if a house or apartment that i rent becomes foreclosure then what do i do?,paraphrase,LmCaai3dxwEnqo8QdExPdB
1764,how do i get my rental house if it's in foreclosure?,paraphrase,LmCaai3dxwEnqo8QdExPdB
1765,what happens when a house or a small apartment is foreclosure?,paraphrase,LmCaai3dxwEnqo8QdExPdB
1766,house or apartment,keyword,LmCaai3dxwEnqo8QdExPdB
1767,foreclosure,keyword,LmCaai3dxwEnqo8QdExPdB
1768,what can i do to get a perkins loan?,paraphrase,eGtqkatvvBiHj4HprNdXQD
1769,tell me the best option to get perkins loan forgiveness?,paraphrase,eGtqkatvvBiHj4HprNdXQD
1770,how can i get public service loan forgiveness?,paraphrase,eGtqkatvvBiHj4HprNdXQD
1771,Service Loan Forgiveness,keyword,eGtqkatvvBiHj4HprNdXQD
1772,Public Service Loan,keyword,eGtqkatvvBiHj4HprNdXQD
1773,how do i know if i am eligible for paye?,paraphrase,LGXLuLSBEfyqcepVn5Y4cE
1774,how do you know if you qualify for paye?,paraphrase,LGXLuLSBEfyqcepVn5Y4cE
1775,PAYE,keyword,LGXLuLSBEfyqcepVn5Y4cE
1776,Earn,keyword,LGXLuLSBEfyqcepVn5Y4cE
1777,is there any benefit for a public service loan forgiveness?,paraphrase,BHHCXshp5hQ6gCPfGJAMpt
1778,do i get a benefit if i fall short of one of the required payment periods?,paraphrase,BHHCXshp5hQ6gCPfGJAMpt
1779,what benefits do i get if i fall short on payment on a public service loan?,paraphrase,BHHCXshp5hQ6gCPfGJAMpt
1780,Service Loan Forgiveness,keyword,BHHCXshp5hQ6gCPfGJAMpt
1781,Public Service Loan,keyword,BHHCXshp5hQ6gCPfGJAMpt
1782,does public service loan forgiveness make sense?,paraphrase,L4XXX8TAzVwdxTjcCkMifd
1783,i understand that there may be other student loan benefits for some teachers is public service loan forgiveness always the best choice?,paraphrase,L4XXX8TAzVwdxTjcCkMifd
1784,i understand there may be other student loan benefits for certain teachers is public service loan forgiveness always the best choice?,paraphrase,L4XXX8TAzVwdxTjcCkMifd
1785,student loan benefits,keyword,L4XXX8TAzVwdxTjcCkMifd
1786,Public Service Loan,keyword,L4XXX8TAzVwdxTjcCkMifd
1787,can you qualify for forgiving public service loans?,paraphrase,ZEap5Y4UNWTyegnqj2BDVw
1788,can you prove that you work for a qualified employer in order to qualify for the public service loan forgiveness?,paraphrase,ZEap5Y4UNWTyegnqj2BDVw
1789,can you certify that you work for a qualified employer in order to qualify for public service loan forgiveness?,paraphrase,ZEap5Y4UNWTyegnqj2BDVw
1790,Service Loan Forgiveness,keyword,ZEap5Y4UNWTyegnqj2BDVw
1791,Public Service Loan,keyword,ZEap5Y4UNWTyegnqj2BDVw
1792,tell me the best way to get a refund on a credit card?,paraphrase,g9ynYWN4pFW6bkkQ99FEuN
1793,how can i get a refund on a product i paid for via credit card?,paraphrase,g9ynYWN4pFW6bkkQ99FEuN
1794,how can i get a refund for a product i bought with a credit card?,paraphrase,g9ynYWN4pFW6bkkQ99FEuN
1795,credit card,keyword,g9ynYWN4pFW6bkkQ99FEuN
1796,product or service,keyword,g9ynYWN4pFW6bkkQ99FEuN
1797,i recently inherited a house is this true?,paraphrase,gE4tLVAiMnkoYGHi7K5hTG
1798,i have inherited a house and the lender has told me he must decide if i can repay the mortgage loan and return it to me is this true?,paraphrase,gE4tLVAiMnkoYGHi7K5hTG
1799,i recently inherited a house and the mortgage lender said they needed to determine my ability to repay before letting me take the mortgage loan is this true?,paraphrase,gE4tLVAiMnkoYGHi7K5hTG
1800,inherited a house,keyword,gE4tLVAiMnkoYGHi7K5hTG
1801,recently inherited,keyword,gE4tLVAiMnkoYGHi7K5hTG
1802,my mortgage servicer had refused me to send me my monthly mortgage statement is that correct?,paraphrase,fwzsDngdgU6DrAUnwZehCe
1803,i am a mortgage holder my mortgage servicer told me that they were not allowed to send me a monthly mortgage statement is that correct?,paraphrase,fwzsDngdgU6DrAUnwZehCe
1804,i declared bankruptcy my mortgage servicer says its not allowed to send me a monthly mortgage statement is that correct?,paraphrase,fwzsDngdgU6DrAUnwZehCe
1805,recently declared bankruptcy,keyword,fwzsDngdgU6DrAUnwZehCe
1806,declared bankruptcy,keyword,fwzsDngdgU6DrAUnwZehCe
1807,tell me the best way to protect yourself from scams?,paraphrase,hmQ7YC8jJdi99FW8UEPsM2
1808,how can i prevent myself from being scammed?,paraphrase,hmQ7YC8jJdi99FW8UEPsM2
1809,how do i protect myself from fraud?,paraphrase,hmQ7YC8jJdi99FW8UEPsM2
1810,fraud and scams,keyword,hmQ7YC8jJdi99FW8UEPsM2
1811,scams,keyword,hmQ7YC8jJdi99FW8UEPsM2
1812,how do i know if i'm getting a friend who was a victim of exploitation in my life?,paraphrase,5nX9ua6QijCKnUcsPqYFCZ
1813,how can i know if my family member has been victimized financially?,paraphrase,5nX9ua6QijCKnUcsPqYFCZ
1814,how can you find out if your friend has been the victim of financial exploitation?,paraphrase,5nX9ua6QijCKnUcsPqYFCZ
1815,financial exploitation,keyword,5nX9ua6QijCKnUcsPqYFCZ
1816,family member,keyword,5nX9ua6QijCKnUcsPqYFCZ
1817,can i delay the loan because i'm in the military or doing volunteer work in the peace corps?,paraphrase,RZF3s4c8gCAMVgAqEJX2sk
1818,what is deferred loans because i'm in the military or volunteering in the peace corps?,paraphrase,RZF3s4c8gCAMVgAqEJX2sk
1819,what does it mean that my loans will be deferred because i serve in the military or volunteer in the peace corps?,paraphrase,RZF3s4c8gCAMVgAqEJX2sk
1820,Peace Corps,keyword,RZF3s4c8gCAMVgAqEJX2sk
1821,loans are eligible,keyword,RZF3s4c8gCAMVgAqEJX2sk
1822,how much does it cost to get a mortgage?,paraphrase,UejikRfTEzYf2gx5QU5bfj
1823,what is a finance charge?,paraphrase,UejikRfTEzYf2gx5QU5bfj
1824,tell me the finance charge for a mortgage?,paraphrase,UejikRfTEzYf2gx5QU5bfj
1825,finance charge,keyword,UejikRfTEzYf2gx5QU5bfj
1826,mortgage,keyword,UejikRfTEzYf2gx5QU5bfj
1827,tell me the best method for me to fix a problem with my mortgage closing documents?,paraphrase,fHZus2orhDNT6sPf2bwYK9
1828,how do i find out why i don't understand a mortgage closing agreement?,paraphrase,fHZus2orhDNT6sPf2bwYK9
1829,what should i do when i do not understand one of my mortgage documents?,paraphrase,fHZus2orhDNT6sPf2bwYK9
1830,mortgage closing documents,keyword,fHZus2orhDNT6sPf2bwYK9
1831,closing documents,keyword,fHZus2orhDNT6sPf2bwYK9
1832,I was asked to sign an “ACH authorization” to allow electronic access to my account in order to repay a payday loan. What is that?,paraphrase,QLPq3ij2fZhPnAGoiEAwX5
1833,ACH authorization,keyword,QLPq3ij2fZhPnAGoiEAwX5
1834,payday loan,keyword,QLPq3ij2fZhPnAGoiEAwX5
1835,tell me the difference between payday loans and deposit loans?,paraphrase,5iAzbu4B9GxEe8FVrn744X
1836,tell me the difference between cash loan and deposit advance?,paraphrase,5iAzbu4B9GxEe8FVrn744X
1837,tell me the difference between a payday loan and a deposit loan?,paraphrase,5iAzbu4B9GxEe8FVrn744X
1838,deposit advance,keyword,5iAzbu4B9GxEe8FVrn744X
1839,payday loan,keyword,5iAzbu4B9GxEe8FVrn744X
1840,how do i get a payday loan online?,paraphrase,AUivsMGUo6vZotF7SKsugK
1841,how should i get a payday loan online?,paraphrase,AUivsMGUo6vZotF7SKsugK
1842,what should i look for before you apply for payday loans online?,paraphrase,AUivsMGUo6vZotF7SKsugK
1843,payday loan online,keyword,AUivsMGUo6vZotF7SKsugK
1844,loan online,keyword,AUivsMGUo6vZotF7SKsugK
1845,how can i obtain my mortgage statement electronically?,paraphrase,AfBAxBBpUo9U47SFrvFSMt
1846,i am looking for an electronic periodic mortgage statement what should i do?,paraphrase,AfBAxBBpUo9U47SFrvFSMt
1847,tell me the best way to get an electronic mortgage statement?,paraphrase,AfBAxBBpUo9U47SFrvFSMt
1848,periodic mortgage statement,keyword,AfBAxBBpUo9U47SFrvFSMt
1849,electronic periodic mortgage,keyword,AfBAxBBpUo9U47SFrvFSMt
1850,tell me the reason for the increase in credit score?,paraphrase,FVjGLRHn4ZHG5eKheeSe4T
1851,how does a credit card bill affect credit rating?,paraphrase,FVjGLRHn4ZHG5eKheeSe4T
1852,what does my credit card account now have?,paraphrase,FVjGLRHn4ZHG5eKheeSe4T
1853,credit card statement,keyword,FVjGLRHn4ZHG5eKheeSe4T
1854,credit score,keyword,FVjGLRHn4ZHG5eKheeSe4T
1855,how do i get rid of credit card debt?,paraphrase,fK5p7Gsy8CSu2kLYMdjn2j
1856,what will i learn if i consolidate my debt from credit card?,paraphrase,fK5p7Gsy8CSu2kLYMdjn2j
1857,what should i do to reduce my credit card debt?,paraphrase,fK5p7Gsy8CSu2kLYMdjn2j
1858,credit card debt,keyword,fK5p7Gsy8CSu2kLYMdjn2j
1859,card debt,keyword,fK5p7Gsy8CSu2kLYMdjn2j
1860,i have seen several ads for a company that allows me to consolidate my credit card debt are they legit?,paraphrase,CzdJ2cT2V6ssdshTYTi6qD
1861,is the ads of companies that consolidate credit card debt real?,paraphrase,CzdJ2cT2V6ssdshTYTi6qD
1862,credit card debt,keyword,CzdJ2cT2V6ssdshTYTi6qD
1863,consolidate credit card,keyword,CzdJ2cT2V6ssdshTYTi6qD
1864,how can i dispute my mortgage?,paraphrase,WA85Tx3kAWSv356ZynP9QD
1865,how do i dispute a mortgage?,paraphrase,WA85Tx3kAWSv356ZynP9QD
1866,how can i dispute an error in my mortgage history?,paraphrase,WA85Tx3kAWSv356ZynP9QD
1867,dispute an error,keyword,WA85Tx3kAWSv356ZynP9QD
1868,error or request,keyword,WA85Tx3kAWSv356ZynP9QD
1869,how much time do i have to leave my home after foreclosure?,paraphrase,atwiozXrdy4ydnYFBCVBPr
1870,how long will i have to leave my home after the foreclosure?,paraphrase,atwiozXrdy4ydnYFBCVBPr
1871,how long will it take me to get out of foreclosure?,paraphrase,atwiozXrdy4ydnYFBCVBPr
1872,leave my home,keyword,atwiozXrdy4ydnYFBCVBPr
1873,long after foreclosure,keyword,atwiozXrdy4ydnYFBCVBPr
1874,can i get a payday loan for the first time when i need more money?,paraphrase,o2UXtZXQitcBzonbgFnTfr
1875,if i need cash now should i go ahead with a payday loan?,paraphrase,o2UXtZXQitcBzonbgFnTfr
1876,should you get a payday loan?,paraphrase,o2UXtZXQitcBzonbgFnTfr
1877,payday loan,keyword,o2UXtZXQitcBzonbgFnTfr
1878,payday,keyword,o2UXtZXQitcBzonbgFnTfr
1879,tell me the credit card add-on?,paraphrase,iBRrXYi6ZUVqfyZLuA4SLk
1880,how do credit card add-ons works?,paraphrase,iBRrXYi6ZUVqfyZLuA4SLk
1881,how does credit card add-on products work?,paraphrase,iBRrXYi6ZUVqfyZLuA4SLk
1882,add-on products,keyword,iBRrXYi6ZUVqfyZLuA4SLk
1883,credit card,keyword,iBRrXYi6ZUVqfyZLuA4SLk
1884,can debt collection agencies attempt to arrest me if i do not pay debts?,paraphrase,j4EiYPp2pDqz5Z8UyjdPBR
1885,can a debt collection agency try to have me arrested?,paraphrase,j4EiYPp2pDqz5Z8UyjdPBR
1886,how can i get a debt collection agency to arrest me for debt collection?,paraphrase,j4EiYPp2pDqz5Z8UyjdPBR
1887,debt collection agency,keyword,j4EiYPp2pDqz5Z8UyjdPBR
1888,debt collection,keyword,j4EiYPp2pDqz5Z8UyjdPBR
1889,is it legal for debt collector to garnish my bank account?,paraphrase,3Tm3a2eJKixv6YWP4fpJbn
1890,how can a debt collector garnish a person's bank account and pay my wages?,paraphrase,3Tm3a2eJKixv6YWP4fpJbn
1891,can i have my creditors garnish my bank account or my wages?,paraphrase,3Tm3a2eJKixv6YWP4fpJbn
1892,debt collector garnish,keyword,3Tm3a2eJKixv6YWP4fpJbn
1893,debt collector,keyword,3Tm3a2eJKixv6YWP4fpJbn
1894,can the debt collector garnish my benefits?,paraphrase,TnBHP7zA7GtEjBHVpjPmky
1895,what if a debt collector claims to garnish my federal benefits?,paraphrase,TnBHP7zA7GtEjBHVpjPmky
1896,can a federal debt collector garnish my federal benefits?,paraphrase,TnBHP7zA7GtEjBHVpjPmky
1897,debt collector garnish,keyword,TnBHP7zA7GtEjBHVpjPmky
1898,federal benefits,keyword,TnBHP7zA7GtEjBHVpjPmky
1899,what are judgments?,paraphrase,bXP9JrAkQTbtVrAzN2peeB
1900,what is judgement?,paraphrase,bXP9JrAkQTbtVrAzN2peeB
1901,what is judgment?,paraphrase,bXP9JrAkQTbtVrAzN2peeB
1902,judgment,keyword,bXP9JrAkQTbtVrAzN2peeB
1903,tell me the difference between a debt settlement company and a credit counselor?,paraphrase,dJDH9LzfJAEvDZNmypii4E
1904,tell me the difference between a debt relief organization and a credit counseling company?,paraphrase,dJDH9LzfJAEvDZNmypii4E
1905,tell me the difference between a credit counseling company and debt consolidation?,paraphrase,dJDH9LzfJAEvDZNmypii4E
1906,debt relief company,keyword,dJDH9LzfJAEvDZNmypii4E
1907,relief company,keyword,dJDH9LzfJAEvDZNmypii4E
1908,what is credit counseling?,paraphrase,dsL84Yq3qYt4mGHJySUpxs
1909,credit counseling,keyword,dsL84Yq3qYt4mGHJySUpxs
1910,counseling,keyword,dsL84Yq3qYt4mGHJySUpxs
1911,how do i know if my relative is in debt and what should i do?,paraphrase,H3kmnZ74tXaLNx7J3mpnY4
1912,owed money,keyword,H3kmnZ74tXaLNx7J3mpnY4
1913,obituary appeared,keyword,H3kmnZ74tXaLNx7J3mpnY4
1914,how do i repay the debt i incurred when i had a credit card?,paraphrase,cK9S6UnNVN2q3pitY8a32j
1915,can i pay off a credit card debt that i used on an authorized account of my deceased relative?,paraphrase,cK9S6UnNVN2q3pitY8a32j
1916,is it legal to make a credit card on a deceased relative's account?,paraphrase,cK9S6UnNVN2q3pitY8a32j
1917,credit card account,keyword,cK9S6UnNVN2q3pitY8a32j
1918,card account,keyword,cK9S6UnNVN2q3pitY8a32j
1919,how do i get help with my debt owed to a debt collector?,paraphrase,7eJ2EENzfRu9N6L3G8kQHr
1920,my debt is to a debt collector how can i get help?,paraphrase,7eJ2EENzfRu9N6L3G8kQHr
1921,debt collector,keyword,7eJ2EENzfRu9N6L3G8kQHr
1922,debt,keyword,7eJ2EENzfRu9N6L3G8kQHr
1923,is there any way a federal debt collector can deactivate my security clearance if my debts are falling behind?,paraphrase,nR6hT5dm8P3djfY95hK5Gt
1924,if i fall behind on my debts can a debt collector have my security clearance revoked?,paraphrase,nR6hT5dm8P3djfY95hK5Gt
1925,is it possible to have my military id revoked if i fall behind on paying my debts?,paraphrase,nR6hT5dm8P3djfY95hK5Gt
1926,security clearance revoked,keyword,nR6hT5dm8P3djfY95hK5Gt
1927,security clearance,keyword,nR6hT5dm8P3djfY95hK5Gt
1928,tell me the best action to defend myself from being sued?,paraphrase,ed2Xtgr7YrcELS7WsjnXiw
1929,what should i do if i cannot make it to court to defend myself?,paraphrase,ed2Xtgr7YrcELS7WsjnXiw
1930,when we are sued for a dui what do we do if you can't go to court or a default judgment is entered because you didn't appear in court?,paraphrase,ed2Xtgr7YrcELS7WsjnXiw
1931,sued,keyword,ed2Xtgr7YrcELS7WsjnXiw
1932,servicemember,keyword,ed2Xtgr7YrcELS7WsjnXiw
1933,can someone get help in the event of a natural disaster?,paraphrase,k3uSPHceEmQsQRWA7eDCY7
1934,what support can i get if i experience a natural disaster?,paraphrase,k3uSPHceEmQsQRWA7eDCY7
1935,what should i do if i am affected by a natural disaster?,paraphrase,k3uSPHceEmQsQRWA7eDCY7
1936,natural disaster,keyword,k3uSPHceEmQsQRWA7eDCY7
1937,kind of assistance,keyword,k3uSPHceEmQsQRWA7eDCY7
1938,what charges do payday loans come with?,paraphrase,6B8MyLNUgYQ6wyjuSgwd68
1939,how much does a payday loan cost?,paraphrase,6B8MyLNUgYQ6wyjuSgwd68
1940,how much is a payday loan?,paraphrase,6B8MyLNUgYQ6wyjuSgwd68
1941,payday loan,keyword,6B8MyLNUgYQ6wyjuSgwd68
1942,costs and fees,keyword,6B8MyLNUgYQ6wyjuSgwd68
1943,how do i know if a payday lender is licensed?,paraphrase,FSKJoCyCHoFzYeYjPHdbHf
1944,how do you know if a payday loan lender in your state is licensed to do business in your state?,paraphrase,FSKJoCyCHoFzYeYjPHdbHf
1945,can i find out if a payday lender is licensed in the state of oklahoma?,paraphrase,FSKJoCyCHoFzYeYjPHdbHf
1946,payday lender,keyword,FSKJoCyCHoFzYeYjPHdbHf
1947,lender is licensed,keyword,FSKJoCyCHoFzYeYjPHdbHf
1948,is it possible that a debt collector will collect on my loan if i live for several years?,paraphrase,a3mGCfE44shXSKRy8AeSAq
1949,can a debt collector still collect my money?,paraphrase,a3mGCfE44shXSKRy8AeSAq
1950,does a debt collector still collect my debts?,paraphrase,a3mGCfE44shXSKRy8AeSAq
1951,debt,keyword,a3mGCfE44shXSKRy8AeSAq
1952,years,keyword,a3mGCfE44shXSKRy8AeSAq
1953,i saw an advertisement for a no-payment reverse mortgage from va,paraphrase,BN5UubUJhx5B4HVuiWuqWA
1954,is an ad for a no-payment reverse mortgage from va legitimate?,paraphrase,BN5UubUJhx5B4HVuiWuqWA
1955,i've seen an ad for a reverse mortgage from the va is this legitimate?,paraphrase,BN5UubUJhx5B4HVuiWuqWA
1956,Veterans Affairs,keyword,BN5UubUJhx5B4HVuiWuqWA
1957,Department of Veterans,keyword,BN5UubUJhx5B4HVuiWuqWA
1958,how can i send money from abroad?,paraphrase,3dw9ENum2aE28b2aYESFRG
1959,what law protects you if you send money abroad?,paraphrase,3dw9ENum2aE28b2aYESFRG
1960,how do i legally send money to a foreign country?,paraphrase,3dw9ENum2aE28b2aYESFRG
1961,laws that protect,keyword,3dw9ENum2aE28b2aYESFRG
1962,send money,keyword,3dw9ENum2aE28b2aYESFRG
1963,i sent money to another country and received two pieces of paper that contained a lot of information i've never seen before,paraphrase,SFdzAxjPTqdYJtHxPKyvxe
1964,country and received,keyword,SFdzAxjPTqdYJtHxPKyvxe
1965,received two pieces,keyword,SFdzAxjPTqdYJtHxPKyvxe
1966,should i pay more to cover the additional fees if i just sent money to a foreign country?,paraphrase,iR9D6RxZ5HRhojLh9yGGWm
1967,i recently sent money to a foreign country and the receipt showed that other fees would be deducted from the amount transferred should i pay more to cover those fees?,paraphrase,iR9D6RxZ5HRhojLh9yGGWm
1968,foreign country,keyword,iR9D6RxZ5HRhojLh9yGGWm
1969,country,keyword,iR9D6RxZ5HRhojLh9yGGWm
1970,who are the best safeguards for international money transfers?,paraphrase,XMYxUcrU7qSAT9VepwQgLC
1971,who will be protected by the new rules on international money transfers?,paraphrase,XMYxUcrU7qSAT9VepwQgLC
1972,who is protected by new rules on international money transfer?,paraphrase,XMYxUcrU7qSAT9VepwQgLC
1973,international money transfers,keyword,XMYxUcrU7qSAT9VepwQgLC
1974,money transfers,keyword,XMYxUcrU7qSAT9VepwQgLC
1975,how do i transfer money from my bank to another country?,paraphrase,Nj9FCS4ENQBj6Bn2JchK57
1976,does the new federal law on international money transfers apply to the united states?,paraphrase,Nj9FCS4ENQBj6Bn2JchK57
1977,how can i transfer money between a bank and a credit union in other countries?,paraphrase,Nj9FCS4ENQBj6Bn2JchK57
1978,bank or credit,keyword,Nj9FCS4ENQBj6Bn2JchK57
1979,credit union,keyword,Nj9FCS4ENQBj6Bn2JchK57
1980,how can i cancel a cash or cheque transfer?,paraphrase,YkDQtSL47q7uc3RubRV3Qu
1981,what can i do with my money transfer?,paraphrase,YkDQtSL47q7uc3RubRV3Qu
1982,can i cancel my fund transfer?,paraphrase,YkDQtSL47q7uc3RubRV3Qu
1983,money transfer,keyword,YkDQtSL47q7uc3RubRV3Qu
1984,cancel a money,keyword,YkDQtSL47q7uc3RubRV3Qu
1985,how can i send money to someone who can't find me a way to get it?,paraphrase,2V6orZTisYtEgxnugqCDBU
1986,i sent money and she couldn't get it because her information didn't match what i told her what can i do?,paraphrase,2V6orZTisYtEgxnugqCDBU
1987,money,keyword,2V6orZTisYtEgxnugqCDBU
1988,provided,keyword,2V6orZTisYtEgxnugqCDBU
1989,i have a wrong account number and i don't know where to send my money what should i do?,paraphrase,UYZCYpTaJSWiwyFTcnhhwa
1990,what should i do if i received a wrong account number?,paraphrase,UYZCYpTaJSWiwyFTcnhhwa
1991,what can i do if i got a wrong account number?,paraphrase,UYZCYpTaJSWiwyFTcnhhwa
1992,wrong account number,keyword,UYZCYpTaJSWiwyFTcnhhwa
1993,account number,keyword,UYZCYpTaJSWiwyFTcnhhwa
1994,is it true that many people use wire transfers to steal money?,paraphrase,irETAAXiexqnpLW6GVvwbU
1995,how can i protect myself from con artists using wire transfers to steal money?,paraphrase,irETAAXiexqnpLW6GVvwbU
1996,i've heard that a lot of con artists use money wire transfers to steal people's money,paraphrase,irETAAXiexqnpLW6GVvwbU
1997,money wire transfers,keyword,irETAAXiexqnpLW6GVvwbU
1998,’ve heard,keyword,irETAAXiexqnpLW6GVvwbU
1999,how can i refund money i sent to a friend in a foreign country which was less than what i sent?,paraphrase,A4bXuwfv5hr5tpTPFV9KEr
2000,i sent money to a friend in a foreign country but the amount received was less than what i sent what can i do?,paraphrase,A4bXuwfv5hr5tpTPFV9KEr
2001,foreign country,keyword,A4bXuwfv5hr5tpTPFV9KEr
2002,amount received,keyword,A4bXuwfv5hr5tpTPFV9KEr
2003,when sending money to another country a non-australian citizen was asked for a fee by the foreigner what should i do?,paraphrase,7CsmTEHgXYMYbLr4TtEuqh
2004,what should i do if i send a lot of money to a foreign country and i pay an unexpected fee to that country?,paraphrase,7CsmTEHgXYMYbLr4TtEuqh
2005,how do i change a bank account when i'm in a foreign country and there are unexpected fees taken out?,paraphrase,7CsmTEHgXYMYbLr4TtEuqh
2006,foreign country,keyword,7CsmTEHgXYMYbLr4TtEuqh
2007,unexpected fees,keyword,7CsmTEHgXYMYbLr4TtEuqh
2008,why didn't i get my money back?,paraphrase,U66ibBt387MybwQAGcYwiv
2009,what should i do if i don't receive my money?,paraphrase,U66ibBt387MybwQAGcYwiv
2010,how can i make money when i send it to another country and it doesn't show up?,paraphrase,U66ibBt387MybwQAGcYwiv
2011,arrive,keyword,U66ibBt387MybwQAGcYwiv
2012,money,keyword,U66ibBt387MybwQAGcYwiv
2013,what should i do if money is not available in a country that has not received the money given on the receipt?,paraphrase,jNtEutzM6VJWafBfZUBqcF
2014,i sent money to another country and it was not available until the date on the receipt what can i do?,paraphrase,jNtEutzM6VJWafBfZUBqcF
2015,receipt,keyword,jNtEutzM6VJWafBfZUBqcF
2016,money,keyword,jNtEutzM6VJWafBfZUBqcF
2017,what should i do if i want to make a complaint about a money transfer?,paraphrase,HG7SidTGwyFtfp4R9RHJ6w
2018,should i file a complaint about international money transfer?,paraphrase,HG7SidTGwyFtfp4R9RHJ6w
2019,how do i file a complaint on an international money transfer?,paraphrase,HG7SidTGwyFtfp4R9RHJ6w
2020,international money transfer,keyword,HG7SidTGwyFtfp4R9RHJ6w
2021,money transfer,keyword,HG7SidTGwyFtfp4R9RHJ6w
2022,how long do you need to file a complaint against a foreign bank?,paraphrase,fFGvqKdqRu4krLjbFLU3Dm
2023,how long is it before you submit an international money transfer complaint?,paraphrase,fFGvqKdqRu4krLjbFLU3Dm
2024,how long does it take to lodge a complaint regarding a money transfer?,paraphrase,fFGvqKdqRu4krLjbFLU3Dm
2025,international money transfer,keyword,fFGvqKdqRu4krLjbFLU3Dm
2026,money transfer,keyword,fFGvqKdqRu4krLjbFLU3Dm
2027,is there any way to complain about a cash transfer problem?,paraphrase,7KJUTntw5tzMCforftJMy7
2028,what happens if a customer complains about a bank remittance transfer provider?,paraphrase,7KJUTntw5tzMCforftJMy7
2029,is there any way to complain about a problem in a remittance transfer?,paraphrase,7KJUTntw5tzMCforftJMy7
2030,remittance transfer provider,keyword,7KJUTntw5tzMCforftJMy7
2031,international money transfer,keyword,7KJUTntw5tzMCforftJMy7
2032,can i get information about the fee and exchange rate of a foreign currency when i send it out of the country?,paraphrase,nwdAkLq3DwAK2NLGDdXhtu
2033,how can i get exchange rates and fees for foreign currency in my native language?,paraphrase,nwdAkLq3DwAK2NLGDdXhtu
2034,exchange rate information,keyword,nwdAkLq3DwAK2NLGDdXhtu
2035,send money,keyword,nwdAkLq3DwAK2NLGDdXhtu
2036,what does this mean?,paraphrase,ZYN6bEbo3ifg3ygLyujU4S
2037,i received a receipt that outlined fees and taxes other than those on the receipt what does this mean?,paraphrase,ZYN6bEbo3ifg3ygLyujU4S
2038,i received a receipt that suggests i will be charged other fees and taxes than those on the receipt what does this mean?,paraphrase,ZYN6bEbo3ifg3ygLyujU4S
2039,charged fees,keyword,ZYN6bEbo3ifg3ygLyujU4S
2040,fees and taxes,keyword,ZYN6bEbo3ifg3ygLyujU4S
2041,I sent money abroad and my receipt includes three phone numbers to call in case of a problem. Which one should I call?,paraphrase,i96tQEcXGhafcZet8JTHxc
2042,money abroad,keyword,i96tQEcXGhafcZet8JTHxc
2043,receipt includes,keyword,i96tQEcXGhafcZet8JTHxc
2044,what types of errors are covered by international money transfers?,paraphrase,SPYE2TBCbYggJgZNN4wGMa
2045,what types of errors are covered in international money transfers?,paraphrase,SPYE2TBCbYggJgZNN4wGMa
2046,can i correct errors in international money transfers?,paraphrase,SPYE2TBCbYggJgZNN4wGMa
2047,international money transfers,keyword,SPYE2TBCbYggJgZNN4wGMa
2048,money transfers,keyword,SPYE2TBCbYggJgZNN4wGMa
2049,tell me the difference between sending money overseas and receiving confirmation of payments?,paraphrase,FHgv3oXv2EZps7X5kRqbWJ
2050,fees were estimates,keyword,FHgv3oXv2EZps7X5kRqbWJ
2051,sending money,keyword,FHgv3oXv2EZps7X5kRqbWJ
2052,what are fiduciaries?,paraphrase,BdW7xSuXd4HBQbrcQMycWU
2053,what is fiduciary?,paraphrase,BdW7xSuXd4HBQbrcQMycWU
2054,what is a fiduciary?,paraphrase,BdW7xSuXd4HBQbrcQMycWU
2055,fiduciary,keyword,BdW7xSuXd4HBQbrcQMycWU
2056,is there a way to change a poa in a power of attorney?,paraphrase,jf8Yyi744rqNP38woqm6N6
2057,how can i revoke or change the power of attorney?,paraphrase,jf8Yyi744rqNP38woqm6N6
2058,is a power of attorney revocable or changeable?,paraphrase,jf8Yyi744rqNP38woqm6N6
2059,POA,keyword,jf8Yyi744rqNP38woqm6N6
2060,power of attorney,keyword,jf8Yyi744rqNP38woqm6N6
2061,what is a property guardian?,paraphrase,ipFQ7sXWRAAQRcvwopEmhL
2062,what does guardian of property mean?,paraphrase,ipFQ7sXWRAAQRcvwopEmhL
